Image_File,OCR_Text,Label_Colors,Bottle_Colors,Beer_URL
beer-images.beerizer.com%2Fraw%2F48%2F25%2F255971.jpg,,"[(16, 16, 16), (226, 226, 226), (116, 116, 116)]","[(42, 25, 21), (238, 242, 243), (88, 127, 158)]",https://beerizer.com/shop/bierloods22/woerden-1372--255971
assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-821_a4616_sm.jpeg,,"[(110, 110, 110), (2, 2, 2), (57, 57, 57)]","[(4, 9, 5), (210, 210, 210), (66, 124, 82)]",https://beerizer.com/shop/bierothek/ipa--92251
beer-images.beerizer.com%2Fraw%2F22%2F17%2F172988.jpg,,"[(97, 97, 97), (217, 217, 217), (159, 159, 159)]","[(88, 88, 96), (217, 210, 217), (179, 149, 163)]",https://beerizer.com/shop/ghostwhale/burst-into-bright--172988
beer-images.beerizer.com%2Fraw%2F66%2F20%2F202504.jpg,,"[(96, 96, 96), (152, 152, 152), (222, 222, 222)]","[(226, 188, 152), (187, 132, 85), (248, 241, 236)]",
beer-images.beerizer.com%2Fraw%2F76%2F41%2F414512.jpg,,"[(112, 112, 112), (232, 232, 232), (17, 17, 17)]","[(201, 208, 57), (126, 118, 34), (207, 207, 188)]",
assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6247900_4a328_sm.jpeg,,"[(222, 222, 222), (46, 46, 46), (113, 113, 113)]","[(227, 234, 233), (156, 172, 168), (43, 152, 110)]",
beer-images.beerizer.com%2Fraw%2F87%2F40%2F408050.jpg,,"[(65, 65, 65), (233, 233, 233), (128, 128, 128)]","[(136, 127, 119), (188, 189, 180), (59, 54, 56)]",https://beerizer.com/shop/hetbiermeisje/dry-hopped-singles-club-strata-edition--408050
beer-images.beerizer.com%2Fraw%2F87%2F38%2F384088.jpg,,"[(124, 124, 124), (190, 190, 190), (10, 10, 10)]","[(186, 173, 157), (66, 57, 53), (142, 120, 104)]",https://beerizer.com/shop/hetbiermeisje/bruks-bitter--384088
beer-images.beerizer.com%2Fraw%2F87%2F40%2F400222.jpg,,"[(20, 20, 20), (220, 220, 220), (113, 113, 113)]","[(131, 112, 103), (67, 45, 43), (189, 177, 162)]",https://beerizer.com/shop/hetbiermeisje/barrel-aged-past-lords-2025--400222
beer-images.beerizer.com%2Fraw%2F87%2F40%2F405414.jpg,,"[(181, 181, 181), (97, 97, 97), (13, 13, 13)]","[(180, 165, 149), (58, 49, 43), (127, 110, 92)]",https://beerizer.com/shop/hetbiermeisje/arpus-x-hoppy-people-quintuple-dry-hopped-riwaka-x-citra-x-moutere-x-motueka-tipa--405414
