Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country
Felhős 2020,BudaPrés Cider,13.67,N/A,8.2%,Cider - Dry,beer-images.beerizer.com%2Fraw%2F62%2F33%2F334221.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/felhos-2020--334221"", ""Beer Page"")",Hungary
Switch Blade,Van Moll,3.50,3.64,6.3%,Porter - Other,beer-images.beerizer.com%2Fraw%2F87%2F43%2F432734.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/switch-blade--432734"", ""Beer Page"")",Netherlands
Planet Hopper,Folkingebrew,7.20,4.26,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F43%2F432733.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/planet-hopper--432733"", ""Beer Page"")",Netherlands
The Syndicate (Investor Collab #2),Folkingebrew,6.95,4.21,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F43%2F432732.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/the-syndicate-investor-collab-2--432732"", ""Beer Page"")",Netherlands
Liquid Haze,Tree House Brewing Company,22.50,4.33,8.2%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F43%2F432731.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/liquid-haze--432731"", ""Beer Page"")",United States
The Beer Republic Advent Calendar 2025 GREEN Edition,Beer Republic,79.99,N/A,N/A,N/A,beer-images.beerizer.com%2Fraw%2F11%2F43%2F430964.png,"=HYPERLINK(""https://beerizer.com/shop/beer_republic/the-beer-republic-advent-calendar-2025-green-edition--430964"", ""Beer Page"")",Unknown
The Beer Republic Advent Calendar 2025 RED Edition,Beer Republic,79.99,N/A,N/A,N/A,beer-images.beerizer.com%2Fraw%2F11%2F43%2F430963.png,"=HYPERLINK(""https://beerizer.com/shop/beer_republic/the-beer-republic-advent-calendar-2025-red-edition--430963"", ""Beer Page"")",Unknown
"Fruit Sour No.6: Redcurrant, Cherry & Lime",Howling Hops,4.90,3.73,4.5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F22%2F43%2F432729.jpg,"=HYPERLINK(""https://beerizer.com/shop/ghostwhale/fruit-sour-no6-redcurrant-cherry-lime--432729"", ""Beer Page"")",England
Free Advice,Howling Hops,5.10,N/A,4.9%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F22%2F43%2F432730.jpg,"=HYPERLINK(""https://beerizer.com/shop/ghostwhale/free-advice--432730"", ""Beer Page"")",England
Omniversal Escapism (2022),Marlobobo,44.50,4.50,14.5%,Mead - Melomel,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432715.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/marlobobo-omniversal-escapism-2022--432715"", ""Beer Page"")",Norway
Eclipse no. II,ROTT. Brouwers,4.50,4.48,11%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432723.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/rott-eclipse-no-ii--432723"", ""Beer Page"")",Netherlands
