Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Barcode: Turquoise Orange,Moersleutel Craft Brewery,13.50,4.41,15%,Freeze-Distilled Beer,beer-images.beerizer.com%2Fraw%2F73%2F41%2F418255.png,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/barcode-turquoise-orange--418255"", ""Beer Page"")",Netherlands,blue,orange,
Barcode: Nitro Blue,Moersleutel Craft Brewery,11.25,4.24,14%,Stout - Russian Imperial,beer-images.beerizer.com%2Fraw%2F73%2F39%2F399543.jpg,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/barcode-nitro-blue--399543"", ""Beer Page"")",Netherlands,blue,white,
Unbarreled V3,Vault City Brewing,12.49,4.24,15%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F40%2F409812.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/unbarreled-v3--409812"", ""Beer Page"")",Scotland,blue,white,
Creamboi Squad,Mad Scientist,5.92,3.79,5.4%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F62%2F43%2F433602.png,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/creamboi-squad--433602"", ""Beer Page"")",Hungary,blue,yellow,
Selfish Games - My Cucumber Mate,HORIZONT Brewing,4.20,3.53,4%,Lager - Other,beer-images.beerizer.com%2Fraw%2F62%2F43%2F433603.png,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/selfish-games-my-cucumber-mate--433603"", ""Beer Page"")",Hungary,green,white,
Dry Stout Mosaic,The Kernel Brewery,3.80,3.73,4.6%,Stout - Irish Dry,beer-images.beerizer.com%2Fraw%2F58%2F40%2F408699.jpg,"=HYPERLINK(""https://beerizer.com/shop/mutedhorn/dry-stout-mosaic--408699"", ""Beer Page"")",England,white,black,
The Masquerade,Brujos Brewing,16.00,4.48,8.7%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F73%2F42%2F428540.png,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/the-masquerade--428540"", ""Beer Page"")",United States,gold,black,
The Prodigal Haze Part X,Tree House Brewing Company,21.50,4.47,9%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F73%2F42%2F428585.png,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/the-prodigal-haze-part-x--428585"", ""Beer Page"")",United States,gold,black,
AMALGAMATION #1,White Dog Brewery,6.38,4.05,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F73%2F40%2F402028.jpg,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/amalgamation-1--402028"", ""Beer Page"")",Netherlands,white,black,
Dogs Allowed,WarPigs Brewpub,6.25,3.95,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F73%2F40%2F403105.jpg,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/dogs-allowed--403105"", ""Beer Page"")",Denmark,green,white,
