Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error,,,,,,,,,,,,,,,,,,,,
Cosmic Kate (5 years Hops N More collab ),Man & Brouw,4.8,3.79,6.30%,IPA - Farmhouse,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6306227_7da6d_sm.jpeg,Beer Page,Belgium,black,white,,,,,,,,,,,,,,,,,,,,,
PRE-ORDER: Aftelkalender 2026,Wiley Roots Brewing Company,59.95,3.82,5.50%,Pilsner - Czech / Bohemian,beer-images.beerizer.com%2Fraw%2F93%2F43%2F433581.jpg,Beer Page,United States,white,black,,,,,,,,,,,,,,,,,,,,,
Apocrypha: Hot Sauce Barrel Aged Habanero 2025 Orange Wax,Hop Hooligans,11.5,4.4,15.50%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6296747_7dc3d_sm.jpeg,Beer Page,Romania,black,red,,,,,,,,,,,,,,,,,,,,,
Apocrypha: Cherry Brandy Barrel Aged Black Cherry Vanilla 2025 Dark Red Wax,Hop Hooligans,11.5,4.4,15.50%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6296767_b7615_sm.jpeg,Beer Page,Romania,black,white,,,,,,,,,,,,,,,,,,,,,
9 Years: Calypso's Temptation,Moersleutel Craft Brewery,12.25,4.36,14%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F87%2F42%2F422198.jpg,Beer Page,Netherlands,white,black,,,,,,,,,,,,,,,,,,,,,
Apocrypha: Rum Guyana & Auchentochan Barrel Aged 2025 Blue Wax,Hop Hooligans,11.5,4.31,15.50%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6296757_acab3_sm.jpeg,Beer Page,Romania,black,white,,,,,,,,,,,,,,,,,,,,,
GENTLE LIES,RIOAZUL,5.45,4.01,6.80%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F42%2F424367.jpg,Beer Page,Spain,white,black,,,,,,,,,,,,,,,,,,,,,
Lichtenhainer,Popihn,5.5,3.74,4.50%,Historical Beer - Lichtenhainer,beer-images.beerizer.com%2Fraw%2F87%2F41%2F414207.jpg,Beer Page,France,white,black,,,,,,,,,,,,,,,,,,,,,
Heady Topper (31-07-2025 ),The Alchemist,17.95,4.52,8%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F73%2F23%2F238065.jpg,Beer Page,United States,white,black,,,,,,,,,,,,,,,,,,,,,
Chubbles X,Cloudwater Brew Co.,13.95,4.4,12%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F73%2F42%2F422875.jpg,Beer Page,England,white,black,,,,,,,,,,,,,,,,,,,,,
