Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,OCR_Text
Catch the Light,Track Brewing Company,9.63,4.42,8.4%,IPA - Imperial / Double Milkshake,beer-images.beerizer.com%2Fraw%2F96%2F40%2F405936.png,"=HYPERLINK(""https://beerizer.com/shop/hopincraftbier/catch-the-light--405936"", ""Beer Page"")",ae:
Sainte Odile Vinaigre de Sang Bleu,Little Beasts Brewing,15.0,3.68,5%,Farmhouse Ale - Bière de Garde,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419554.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/sainte-odile-vinaigre-de-sang-bleu--419554"", ""Beer Page"")",
Child Labor,Bereta Brewing Co.,4.2,3.82,8%,IPA - Imperial / Double New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6156519_b1ff2_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bereta/child-labor--397268"", ""Beer Page"")",
Vicaris Tripel,Brouwerij Dilewyns,2.95,3.55,8.5%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F27%2F4%2F41595.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/vicaris-tripel--41595"", ""Beer Page"")",
Timmermans Lambicus Blanche,Brewery John Martin & Brewery Timmermans,2.45,3.47,4.5%,Lambic - Traditional,beer-images.beerizer.com%2Fraw%2F27%2F35%2F356238.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/timmermans-lambicus-blanche--356238"", ""Beer Page"")",
Nikl weiße Eule Hefeweißbier,Nikl-Bräu Pretzfeld,2.1,3.62,5.5%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F59%2F10%2F101038.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/nikl-weisse-eule-hefeweissbier--101038"", ""Beer Page"")",
Günther Hausbrauer Vollbier,Günther-Bräu,1.9,3.52,4.8%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F59%2F15%2F155171.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/gunther-hausbrauer-vollbier--155171"", ""Beer Page"")",
Nikl Michala Dunkel,Nikl-Bräu Pretzfeld,2.1,3.49,5.1%,Kellerbier / Zwickelbier,beer-images.beerizer.com%2Fraw%2F59%2F10%2F101201.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/nikl-michala-dunkel--101201"", ""Beer Page"")",
Günther Lagerbier Bernstein,Günther-Bräu,1.9,3.44,4.9%,Lager - Amber / Red,beer-images.beerizer.com%2Fraw%2F59%2F28%2F281655.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/gunther-lagerbier-bernstein--281655"", ""Beer Page"")",ee od -|
Aufsesser Wegseidla 1ohne,Privatbrauerei Rothenbach,1.9,3.41,4.9%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F59%2F39%2F393377.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/aufsesser-wegseidla-1ohne--393377"", ""Beer Page"")",
