Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Chocolate Master,Brewery De Meester,4.75,3.88,10.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435187.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-chocolate-master--435187"", ""Beer Page"")",Belgium,dark,light,
Dark Master,Brewery De Meester,3.75,3.77,12%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435189.png,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-dark-master--435189"", ""Beer Page"")",Belgium,dark,light,
Vals Meesterke,Brewery De Meester,3.00,3.66,9%,Porter - Imperial / Double,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435190.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-vals-meesterke--435190"", ""Beer Page"")",Belgium,black,white,
Cuvée Jerome,Brewery De Meester,2.50,3.44,7.5%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435188.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-cuvee-jerome--435188"", ""Beer Page"")",Belgium,black,white,
Master NZ IPA,Brewery De Meester,4.49,3.74,6.5%,IPA - New Zealand,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435184.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-master-nz-ipa--435184"", ""Beer Page"")",Belgium,black,white,
De Meester,Brewery De Meester,2.80,3.47,8.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435186.png,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester--435186"", ""Beer Page"")",Belgium,white,black,
Meestereske,Brewery De Meester,2.99,3.43,9.5%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F68%2F43%2F435185.png,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-meester-meestereske--435185"", ""Beer Page"")",Belgium,blue,white,
Miracle Juice,Hop Hooligans,6.08,3.88,6%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/hop-hooligans-miracle-juice--427508"", ""Beer Page"")",Romania,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /Zk32Rl6FRFF7WS67ZnyNiiZWc4I=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F53%2F42%2F427508.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e2ca30>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Zichovec The Irish Black,Rodinný Pivovar Zichovec,3.55,3.56,4.6%,Stout - Irish Dry,N/A,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/zichovec-the-irish-black--431490"", ""Beer Page"")",Czech Republic,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /Ln0ANAyAZ4sqXRqn0OMaMbCH-2A=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F53%2F43%2F431490.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e4ca90>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Pellicle Hypothesis Juniper,Perrin Brewing Co.®,29.95,3.65,7%,Sour - Other,N/A,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/pellicle-hypothesis-juniper--435183"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /IbPFq_nh2F8laiATGCkz32p9Muc=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F8%2F43%2F435183.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e5e430>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Pellicle Hypothesis Shiso,Perrin Brewing Co.®,29.95,3.65,7%,Sour - Other,N/A,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/pellicle-hypothesis-shiso--435182"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /87wlYD75dWiMuQ50LnaVqCcnIws=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F8%2F43%2F435182.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e5ed90>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Hazy Discovery Bratislava,Browar PINTA,3.60,3.87,6%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/hazy-discovery-bratislava--394456"", ""Beer Page"")",Poland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /4uTMfU3A4KFOq_N0tUYAnKPEnpE=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F92%2F39%2F394456.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e5ed00>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Hopchief (collab Yakima Chief),Funky Fluid,4.30,3.83,6.2%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/hopchief-collab-yakima-chief--394443"", ""Beer Page"")",Poland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /81nesfmLxp-e9W_fB1wpkhO1eto=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F92%2F39%2F394443.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e5e2b0>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Kooky,Funky Fluid,2.90,3.74,6.4%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/kooky--394302"", ""Beer Page"")",Poland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /XW_xJsVS5ZJ3KLHrCo_qSlz49uU=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F92%2F39%2F394302.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e4ca60>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Crowd Control,Hop Hooligans,4.40,3.88,6%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/bereta/crowd-control--65247"", ""Beer Page"")",Romania,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /zMpaS4SsP4_E2RaDC70M5lJ_pEw=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1833392_519c9_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e2cb20>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Future Perfect,Hop Hooligans,5.60,3.83,6%,IPA - American,N/A,"=HYPERLINK(""https://beerizer.com/shop/bereta/future-perfect--427965"", ""Beer Page"")",Romania,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /LZz-p_r6xbaXm0026mVa2XgbR3M=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6289483_e8e04_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e66790>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Clubnacht,Blech.Brut,7.29,4.25,9.5%,IPA - Triple New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/clubnacht--431959"", ""Beer Page"")",Germany,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /cyIq2KuXWwvAbg-rho-M4GRPyZM=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F12%2F43%2F431959.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e71190>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Eazy Breezy,Vault City Brewing,7.29,3.84,5%,Sour - Fruited,N/A,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/eazy-breezy--432189"", ""Beer Page"")",Scotland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /r7Q6wIr4hRQG8pg8We70vV4KUME=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F12%2F43%2F432189.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e2ca30>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Hazy Little Thing,Sierra Nevada Brewing Co.,3.29,3.78,6.7%,IPA - New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/hazy-little-thing--429901"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /gozG0o9v8oEXAjkCxlLUHF22ZaE=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F12%2F42%2F429901.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x111e4cb20>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Folkingebrew | LOST IN THE MIST (Collab with LOST),Folkingebrew,7.50,4.09,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435206.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/folkingebrew-folkingebrew-lost-in-the-mist-collab-with-lost--435206"", ""Beer Page"")",Netherlands,black,white,
Lost LOST | SUPERDELIC,Brouwerij LOST,6.75,4.09,8.1%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435205.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/lost-lost-superdelic--435205"", ""Beer Page"")",Netherlands,orange,black,
white dog White Dog | RESTING AT THE BOTTOM OF THE OCEAN,White Dog Brewery,7.95,4.41,12%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435204.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/white-dog-white-dog-resting-at-the-bottom-of-the-ocean--435204"", ""Beer Page"")",Netherlands,black,white,
white dog White Dog | DELUSIONAL HAZINESS,White Dog Brewery,7.75,4.29,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435203.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/white-dog-white-dog-delusional-haziness--435203"", ""Beer Page"")",Netherlands,dark,white,
Other half Other Half: Triple Citra Daydream,Other Half Brewing Co.,10.50,4.48,10.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435202.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-triple-citra-daydream--435202"", ""Beer Page"")",United States,black,white,
Other half Other Half: All Green Everything,Other Half Brewing Co.,10.50,4.40,10.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435201.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-all-green-everything--435201"", ""Beer Page"")",United States,white,black,
Other half Other Half: Mylar Bags,Other Half Brewing Co.,9.95,4.35,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435197.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-mylar-bags--435197"", ""Beer Page"")",United States,black,white,
Other half Other Half: Hand Truck Heroes,Other Half Brewing Co.,9.95,4.25,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435198.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-hand-truck-heroes--435198"", ""Beer Page"")",United States,dark,white,
Other half Other Half: Mosaic + Nectaron,Other Half Brewing Co.,9.95,4.23,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435199.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-mosaic-nectaron--435199"", ""Beer Page"")",United States,white,black,
Other half Other Half: Green Caps,Other Half Brewing Co.,9.95,4.22,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435196.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-green-caps--435196"", ""Beer Page"")",United States,gray,purple,
Other half Other Half: Digital Vibrations,Other Half Brewing Co.,9.95,4.20,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435200.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-digital-vibrations--435200"", ""Beer Page"")",United States,black,white,
Other half Other Half: Space Dream,Other Half Brewing Co.,8.95,4.18,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435193.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-space-dream--435193"", ""Beer Page"")",United States,black,white,
