Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Barrel Select Gold,Captain Lawrence Brewing Company,19.99,3.78,7%,Wild Ale - American,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-170490_71201_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-select-gold--384995"", ""Beer Page"")",United States,brown,white,
Rumver Gnügen 2016 Series Batch No. 1,Stone Brewing,23.99,3.77,10%,Wheat Beer - Dunkelweizen,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1933416_07426_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/rumver-gnugen-2016-series-batch-no-1--385836"", ""Beer Page"")",United States,black,white,
Hoppy Horsey 2019,The Bruery Terreux,27.99,3.77,6.2%,Farmhouse Ale - Saison,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3609232_03874_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/hoppy-horsey-2019--384975"", ""Beer Page"")",United States,white,black,
Scotch Barrel-Aged 11 Pipers Piping 2019,The Bruery,27.99,3.77,13.2%,Scotch Ale / Wee Heavy,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-1246_6c478.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/scotch-barrel-aged-11-pipers-piping-2019--384952"", ""Beer Page"")",United States,unknown,unknown,
Velvet River,The Veil Brewing Co.,30.99,3.77,10.5%,Barleywine - Other,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3651266_4743c_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/velvet-river--385992"", ""Beer Page"")",United States,red,white,
Every Last Drop - 22oz,Horus Aged Ales,30.99,3.75,14.8%,Stout - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3977453_6a669_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/every-last-drop-22oz--385386"", ""Beer Page"")",United States,purple,white,
BA Chili Chocolate Gold Cup 2016,Old Bust Head Brewing Company,15.99,3.75,10%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2486720_34357_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/ba-chili-chocolate-gold-cup-2016--385607"", ""Beer Page"")",United States,white,black,
Big Bad Baptist Peanut Butter Cup 2019,"Epic Brewing Co. (Utah, Colorado)",15.99,3.75,11%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3465589_6a3c3_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/big-bad-baptist-peanut-butter-cup-2019--385121"", ""Beer Page"")",United States,brown,white,
Twelfth Night,Lickinghole Creek Craft Brewery,15.99,3.75,9.5%,Belgian Quadrupel,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2960470_6ac28_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/twelfth-night--385470"", ""Beer Page"")",United States,green,white,
Chai Tea Virginia Black Bear,Lickinghole Creek Craft Brewery,15.99,3.75,9.3%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1361197_47682_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/chai-tea-virginia-black-bear--385461"", ""Beer Page"")",United States,white,black,
